,Make,Model,Variant,Ex-Showroom_Price,Displacement,Kerb_Weight,Cylinders,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Type,Odometer,Speedometer,Tachometer,Seating_Capacity,Start_/_Stop_Button,Audiosystem,Aux-in_Compatibility,Basic_Warranty,Bluetooth,12v_Power_Outlet,Boot-lid_Opener,Boot_Space,Child_Safety_Locks,Extended_Warranty,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Hill_Assist,Airbags,Number_of_Airbags,Parking_Assistance,Infotainment_Screen,Navigation_System,Third_Row_AC_Vents,Second_Row_AC_Vents,Engine_Type,Rain_Sensing_Wipers
243,Honda,Cr-V,2Wd Petrol Cvt,2827001.0,1997.0,1720.0,4.0,BS IV,57.0,Petrol,SUV,5.0,14.4,7,198.0,154PS@6500rpm,189NM@4300rpm,Automatic,Digital,Digital,Digital,5.0,Yes,CD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Yes,Yes,Manual,522.0,Yes,1 years /20000 Kms ,Internal,Digital,Automatic,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Driver curtain airbag, Rear passenger center airbag, Curtain airbags",6.0,Front and rear sensors with camera,Touch Sensitive,Yes,Yes,Yes,Not known,Not Applicable
244,Honda,Cr-V,2Wd Diesel At,3067001.0,1597.0,1720.0,4.0,BS IV,57.0,Diesel,SUV,5.0,19.5,9,198.0,120PS@4000RPM,300NM@2000rpm,Automatic,Digital,Digital,Digital,7.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Yes,Yes,"With Remote, Manual",150.0,Yes,1 years /20000 Kms ,"Internal, With Remote",Digital,Automatic,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Driver curtain airbag, Rear passenger curtain airbags, Curtain airbags",6.0,Front and rear sensors with camera,Touch Sensitive,Yes,Yes,Yes,Not known,Yes
245,Honda,Cr-V,Awd Diesel At,3277001.0,1597.0,1725.0,4.0,BS IV,57.0,Diesel,SUV,5.0,18.3,9,208.0,120PS@4000RPM,300NM@2000rpm,Automatic,Digital,Digital,Digital,7.0,Yes,CD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Yes,Yes,Manual,150.0,Yes,1 years /20000 Kms ,Internal,Digital,Manual,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Driver curtain airbag, Rear passenger center airbag",6.0,Front and rear sensors with camera,Touch Sensitive,Yes,Yes,Yes,Not known,Not Applicable
246,Skoda,Superb Sportline,Sportline 1.8L Tsi At,2899599.0,1798.0,1540.0,4.0,BS IV,66.0,Petrol,Sedan,4.0,13.7,7,164.0,180PS@6200RPM,250NM@1250-5000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,2,"Internal, With Remote",625.0,Yes,2 years /100000 Kms ,Internal,Analog,Automatic,Yes,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",8.0,Front and rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
247,Skoda,Superb Sportline,Sportline 2.0L Tdi At,3149599.0,1968.0,1565.0,4.0,BS IV,66.0,Diesel,Sedan,4.0,18.19,6,149.0,177PS@4000RPM,350Nm@1500-3500rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,2,"Internal, With Remote",625.0,Yes,2 years /100000 Kms ,Internal,Analog,Automatic,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag",8.0,Front and rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
248,Audi,A3,35 Tdi Premium Plus,3021200.0,1968.0,1340.0,4.0,BS IV,50.0,Diesel,Sedan,4.0,20.38,6,161.0,143PS@4000rpm,320Nm@1750-3000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD Player with USB & Aux-in,Yes,2 years without mileage limit,Yes,Yes,Internal,425.0,Yes,3rd/4th year,Internal,Digital,Manual,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags",9.0,Rear sensors,Touch Sensitive,Not Applicable,Not Applicable,Yes,Not known,Yes
249,Audi,A3,35 Tdi Technology,3221200.0,1968.0,1340.0,4.0,BS IV,50.0,Diesel,Sedan,4.0,20.38,6,161.0,143PS@4000rpm,320Nm@1750-3000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD Player with USB & Aux-in,Yes,2 years without mileage limit,Yes,Yes,Internal,425.0,Yes,3rd/4th year,Manual,Digital,Manual,Yes,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags",9.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
250,Audi,A3,35 Tfsi Premium Plus,2920750.0,1395.0,1340.0,4.0,BS IV,50.0,Petrol,Sedan,4.0,19.2,7,161.0,150PS@6000RPM,250NM@1250-5000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD Player with USB & Aux-in,Yes,2 years without mileage limit,Yes,Yes,Internal,425.0,Yes,3rd/4th year,Internal,Digital,Manual,Yes,"Driver frontal airbag, Front passenger frontal airbag, Driver head airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Driver knee airbag, Rear passenger head airbags",9.0,Rear sensors,Touch Sensitive,Not Applicable,Not Applicable,Yes,Not known,Yes
251,Audi,A3,35 Tfsi Technology,3120750.0,1395.0,1340.0,4.0,BS IV,50.0,Petrol,Sedan,4.0,19.2,7,161.0,150PS@6000RPM,250NM@1250-5000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD Player with USB & Aux-in,Yes,2 years without mileage limit,Yes,Yes,Internal,425.0,Yes,3rd/4th year,Internal,Digital,Manual,Yes,"Driver frontal airbag, Front passenger frontal airbag, Driver head airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Driver knee airbag, Rear passenger head airbags",9.0,Rear sensors,Touch Sensitive,Not Applicable,Not Applicable,Yes,Not known,Yes
252,Mercedes,Mercedes-Benz B-Class,B 180 Sport,2988311.0,1595.0,1425.0,4.0,BS IV,50.0,Petrol,MPV,5.0,14.81,7,190.0,122PS@5000rpm,200Nm@1250-4000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,Yes,"Internal, With Remote",488.0,Yes,4th year /with ,"With Remote, Manual",Analog,Automatic,Yes,"Driver pelvic airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags, Drive side airbag, Front passenger pelvic airbag",7.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
